Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A038950,파인디지털,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A373170,엠아이큐브솔루션,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A051380,피씨디렉트,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업","컴퓨터 및 주변장치, 소프트웨어 도매업"
A900310,컬러레이,금융 및 보험업,금융업,기타 금융업,기타 금융업,기타 금융업
A262840,아이퀘스트,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A208860,엔지스테크널러지,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A068100,케이웨더,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업
A052860,아이앤씨,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,전자집적회로 제조업
A051390,YW,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,상품 종합 도매업,상품 종합 도매업
A021040,대호특수강,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",철강선 제조업
A290660,네오펙트,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
A046310,백금T&A,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A348080,큐라티스,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A210120,빅텐츠,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화, 비디오물 및 방송프로그램 제작업",방송 프로그램 제작업
A072130,유엔젤,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A037400,우리엔터프라이즈,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,상품 종합 도매업,상품 종합 도매업
A018700,바른손,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,생활용품 도매업,생활용품 도매업
A169330,엠브레인,"전문, 과학 및 기술 서비스업",전문 서비스업,시장조사 및 여론조사업,시장조사 및 여론조사업,시장조사 및 여론조사업
A079170,한창산업,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","기타 비철금속 압연, 압출 및 연신 제품 제조업"
A147760,피엠티,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업","전자기 측정, 시험 및 분석기구 제조업"
A010770,평화홀딩스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업
A048470,대동스틸,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,기타 전문 도매업,기타 전문 도매업
A252500,세화피앤씨,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A138360,협진,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A417180,핑거스토리,정보통신업,정보서비스업,기타 정보 서비스업,그 외 기타 정보 서비스업,데이터베이스 및 온라인정보 제공업
A331520,밸로프,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A065500,오리엔트정공,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 엔진용 신품 부품 제조업,자동차 엔진용 신품 부품 제조업
